name,latitude,longitude,score,SDG1,SDG2,SDG3,SDG4,SDG5,SDG6,SDG7,SDG8,SDG9,SDG10,SDG11,SDG12,SDG13,SDG15,SDG16
"Oklahoma City, OK ",35.5006,-97.6114,42.46,31.41,11.03,29.5,30.94,25.65,99.02,31.55,58.55,17.49,43.05,51.47,99.71,13.84,56.12,37.6
"Fresno, CA ",36.9859,-119.2321,42.16,3.49,21.05,32.36,10.05,55.74,74.72,51.58,32.46,12.85,35.51,21.8,99.98,68.04,66.51,46.25
"St. Louis, MO-IL ",38.8197,-90.4502,41.61,45.33,16.09,37.28,43.66,40.66,85.21,12.16,55.97,21.22,17.17,50.17,88.17,31.73,51.72,27.54
"Augusta-Richmond County, GA-SC ",33.3623,-82.0407,40.56,16.7,4.54,21.46,17.84,49.12,99.92,36.01,42.75,6.3,27.84,43.45,71.23,31.09,97.42,42.71
"Modesto, CA ",37.5091,-120.9876,40.45,18.15,14.25,41.32,9.35,38.15,0,51.58,38.74,19.15,57.46,46.9,99.12,65.82,62.35,44.34
"Toledo, OH ",41.6528,-83.5379,40.24,24.04,4.4,36.73,33.78,16.11,86.79,13.57,57.4,20.14,17.26,57.99,72.09,53.94,60.39,48.92
"Stockton-Lodi, CA ",38.744,-121.1651,40.2,19.77,19.71,36.74,12.15,44.14,0,51.58,42.45,16.96,48.43,48.91,99.81,65.9,72.1,24.3
"Little Rock-North Little Rock-Conway, AR ",35.0887,-92.4421,39.93,29.14,1.57,22.69,29.51,30.4,99.52,33.17,49.73,10.1,23.72,41.1,99.19,53.91,58.25,17.02
"Milwaukee-Waukesha-West Allis, WI ",43.0073,-88.3239,39.28,39.23,17.3,45.74,43.72,37.88,0,25,58.24,21.57,11.75,65.75,93.09,51.52,37.01,41.41
"Tulsa, OK ",36.274,-96.2376,39.24,34.31,10.26,28.8,30.25,15.83,99.79,31.55,57.31,16.75,35.34,54.07,93.89,11.35,46.96,22.2
"Lakeland-Winter Haven, FL ",28.022243,-81.732857,39.24,10.45,8.21,23.11,16.21,51.66,99.87,11.01,31.84,0.55,42.33,51.02,82.83,42.06,56.78,60.65
"Memphis, TN-MS-AR ",35.0387,-89.8505,39.11,17.17,0,15.81,24.77,51.76,99.27,56.33,32.2,7.7,11.93,47.77,91.75,53.15,76.49,0.52
"Houston-The Woodlands-Sugar Land, TX ",30.1775,-95.50389,38.12,35.73,15.28,35.27,28.75,45.2,78.47,22.56,59.49,26.59,34.52,38.52,3.01,19.68,87.49,41.23
"Cleveland-Elyria, OH ",41.37333,-82.10167,37.23,36.78,12.48,38.69,35.2,36.85,7.1,13.57,54.78,20.07,10.12,53.92,75.52,50.41,56.85,56.12
"Jackson, MS ",32.1745,-90.1495,36.83,17.92,0.48,16.34,35.7,42.46,99.93,7.38,48.39,8.1,16.7,39.61,95.43,56.9,67.03,0
"Indianapolis-Carmel-Anderson, IN ",39.76838,-86.15804,36.36,38.83,13.01,37.88,34.81,37.46,48.63,0,53.22,22.34,15.75,45.63,95.34,9.95,64.67,27.85
"Bakersfield, CA ",35.4937,-118.8597,36.12,2.28,18,27.62,4.83,43.08,23.46,51.58,25.6,13.46,51.93,25.5,85.99,65.81,60.42,42.23
"Baton Rouge, LA ",30.4515,-91.1871,33.43,27.25,6.28,15.09,31.81,38.36,94.33,18.32,36.37,13.07,27.43,43.15,0,56.78,70.06,23.11
"New Orleans-Metairie, LA ",29.984093,-90.152855,30.49,25.58,6.62,27.67,34.37,30.4,74.94,18.32,40.53,7.19,15.95,61.15,0,37.68,57.18,19.78
