msa,year,value
"Moncton, New Brunswick",2009,6.3
"Moncton, New Brunswick",2010,6.9
"Moncton, New Brunswick",2011,7.2
"Moncton, New Brunswick",2012,6.8
"Moncton, New Brunswick",2013,7.2
"Moncton, New Brunswick",2014,6.7
"Moncton, New Brunswick",2015,6.9
"Moncton, New Brunswick",2016,7.3
"Moncton, New Brunswick",2017,6.1
"Moncton, New Brunswick",2018,5.9
"Moncton, New Brunswick",2019,5.7
"Moncton, New Brunswick",2020,7.9
"Montréal, Quebec",2001,8.3
"Montréal, Quebec",2002,8.6
"Montréal, Quebec",2003,9.5
"Montréal, Quebec",2004,8.6
"Montréal, Quebec",2005,8.6
"Montréal, Quebec",2006,8.4
"Montréal, Quebec",2007,7.0
"Montréal, Quebec",2008,7.4
"Montréal, Quebec",2009,9.3
"Montréal, Quebec",2010,8.7
"Montréal, Quebec",2011,8.4
"Montréal, Quebec",2012,8.4
"Montréal, Quebec",2013,7.9
"Montréal, Quebec",2014,8.2
"Montréal, Quebec",2015,8.4
"Montréal, Quebec",2016,7.7
"Montréal, Quebec",2017,6.6
"Montréal, Quebec",2018,6.1
"Montréal, Quebec",2019,5.7
"Montréal, Quebec",2020,10.1
"Oshawa, Ontario",2001,5.6
"Oshawa, Ontario",2002,6.8
"Oshawa, Ontario",2003,5.1
"Oshawa, Ontario",2004,5.4
"Oshawa, Ontario",2005,6.5
"Oshawa, Ontario",2006,6.6
"Oshawa, Ontario",2007,6.2
"Oshawa, Ontario",2008,7.1
"Oshawa, Ontario",2009,9.1
"Oshawa, Ontario",2010,9.9
"Oshawa, Ontario",2011,8.2
"Oshawa, Ontario",2012,8.7
"Oshawa, Ontario",2013,7.5
"Oshawa, Ontario",2014,7.1
"Oshawa, Ontario",2015,7.5
"Oshawa, Ontario",2016,5.9
"Oshawa, Ontario",2017,5.5
"Oshawa, Ontario",2018,5.1
"Oshawa, Ontario",2019,5.4
"Oshawa, Ontario",2020,9.2
"Ottawa-Gatineau, Ontario/Quebec",2001,6.3
"Ottawa-Gatineau, Ontario/Quebec",2002,7.4
"Ottawa-Gatineau, Ontario/Quebec",2003,6.8
"Ottawa-Gatineau, Ontario/Quebec",2004,6.7
"Ottawa-Gatineau, Ontario/Quebec",2005,6.6
"Ottawa-Gatineau, Ontario/Quebec",2006,5.3
"Ottawa-Gatineau, Ontario/Quebec",2007,5.2
"Ottawa-Gatineau, Ontario/Quebec",2008,5.0
"Ottawa-Gatineau, Ontario/Quebec",2009,5.8
"Ottawa-Gatineau, Ontario/Quebec",2010,6.6
"Ottawa-Gatineau, Ontario/Quebec",2011,6.2
"Ottawa-Gatineau, Ontario/Quebec",2012,6.2
